,acq_date,latitude,longitude,provincias
494,2018-04-10,28.1973,-16.6018,Santa Cruz de Tenerife
495,2018-04-10,28.1972,-16.6079,Santa Cruz de Tenerife
496,2018-04-10,28.1927,-16.6026,Santa Cruz de Tenerife
497,2018-04-11,37.8954,-5.8456,Sevilla
498,2018-04-11,37.2947,-1.8969999999999998,Almeria
499,2018-04-14,43.5234,-5.729,Asturias
500,2018-04-14,37.7023,-3.9722,Jaén
501,2018-04-14,43.2992,-5.1599,Asturias
502,2018-04-15,38.3821,-0.4924,Alacant / Alicante
503,2018-04-16,43.5408,-5.8291,Asturias
504,2018-04-16,37.2221,-3.6351,Comarca de la Vega de Granada
505,2018-04-16,37.2247,-3.6408,Comarca de la Vega de Granada
506,2018-04-16,37.3861,-3.1710000000000003,Comarca de Guadix
507,2018-04-16,38.6079,-0.5907,Alacant / Alicante
508,2018-04-16,43.531000000000006,-5.7381,Asturias
509,2018-04-16,43.5218,-5.7357,Asturias
510,2018-04-17,43.3453,-3.5575,Trasmiera
511,2018-04-17,41.8508,-7.0846,Vinhais
512,2018-04-17,42.4041,-6.2946,Maragatería
513,2018-04-17,41.7319,-7.246,Valpaços
514,2018-04-17,43.521,-5.7325,Asturias
